,开始日期,结束日期,商家ID,商家名称,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,复购人数,复购率,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,原价客单价,实付客单价, 
0,20200601,20200630,9024275,花韵花艺馆,河南省,郑州,否,20200508,在线,18,18.0,1451,42,0,0,0,0.0,2.89,0.0,0,0,0,0,0.0,0.0,
1,20200601,20200630,9024278,友新意鲜花坊,陕西省,西安,否,20200508,在线,18,18.0,18362,314,23,21,2,0.09,1.71,7.32,23,22,4962,2596,215.74,112.9,
2,20200601,20200630,9043306,花之都创意鲜花馆,山东省,潍坊,否,20200508,在线,18,18.0,1183,17,0,0,0,0.0,1.44,0.0,0,0,0,0,0.0,0.0,
3,20200601,20200630,9043308,时初花艺,陕西省,咸阳,否,20200508,在线,18,18.0,4894,66,1,0,1,1.0,1.35,1.52,1,0,0,0,0.0,0.0,
4,20200601,20200630,9043310,元寳花店,吉林省,长春,否,20200508,在线,10,10.3,3215,44,0,0,0,0.0,1.37,0.0,0,0,0,0,0.0,0.0,
5,20200601,20200630,9043313,浪漫主题花艺,黑龙江省,佳木斯,否,20200508,在线,24,24.0,3292,57,2,1,1,0.5,1.73,3.51,2,1,229,86,114.5,43.0,
6,20200601,20200630,9043314,茗蔓花艺,河北省,石家庄,否,20200508,在线,18,18.0,911,16,0,0,0,0.0,1.76,0.0,0,0,0,0,0.0,0.0,
7,20200601,20200630,9043317,花坞,福建省,福州,否,20200508,在线,18,18.0,11259,435,8,7,1,0.13,3.86,1.84,7,7,2702,1443,337.75,180.4,
8,20200601,20200630,9043320,花企网婚庆,福建省,泉州,否,20200508,在线,18,18.7,3803,86,2,2,0,0.0,2.26,2.33,2,2,518,299,259.0,149.5,
9,20200601,20200630,9043425,永恒鲜花,贵州省,六盘水,否,20200508,在线,18,18.0,2333,31,6,6,0,0.0,1.33,19.35,6,6,1454,595,242.33,99.2,
10,20200601,20200630,9043994,八度花艺,河南省,许昌,否,20200508,在线,15,15.5,4116,193,12,7,5,0.42,4.69,6.22,9,7,1763,986,146.92,82.2,
11,20200601,20200630,9043995,情缘婚庆,福建省,南平,否,20200508,在线,16,15.8,1922,71,4,3,1,0.25,3.69,5.63,4,3,727,293,181.75,73.3,
12,20200601,20200630,9043996,花间时光,河南省,许昌,否,20200508,在线,18,18.0,3712,95,2,1,1,0.5,2.56,2.11,3,3,687,239,343.5,119.5,
13,20200601,20200630,9127995,柔怡鲜花,山东省,烟台,否,20200526,在线,11,11.6,2436,55,3,3,0,0.0,2.26,5.45,3,3,750,281,250.0,93.7,
14,20200601,20200630,9132125,等你花舍,安徽省,合肥,否,20200530,在线,15,15.0,1874,38,2,2,0,0.0,2.03,5.26,2,2,498,207,249.0,103.5,
15,20200601,20200630,9132229,尚品花店,湖北省,十堰,否,20200519,下线,14,14.5,911,21,0,0,0,0.0,2.31,0.0,0,0,0,0,0.0,0.0,
