,rfm_group,time,number
0,111,20200601,33
1,111,20200701,50
2,112,20200601,10
3,112,20200701,6
4,121,20200701,1
5,122,20200601,4
6,122,20200701,21
7,123,20200601,7
8,123,20200701,1
9,133,20200601,8
10,133,20200701,17
11,211,20200601,16
12,211,20200701,32
13,212,20200601,2
14,222,20200601,4
15,222,20200701,5
16,223,20200601,2
17,233,20200601,3
18,233,20200701,12
19,311,20200601,11
20,311,20200701,13
21,312,20200601,2
22,312,20200701,1
23,322,20200601,7
24,322,20200701,12
25,323,20200601,1
26,323,20200701,2
27,332,20200701,2
28,333,20200601,9
29,333,20200701,16
