,城市等级,有效订单数,实付交易额,曝光人数,入店人数,下单人数,门店数量,入店转化率,下单转化率
0,S,1823,251852.24,646553,27149,2118,132,4.19903704723356,7.801392316475744
1,A,1638,206052.74,813774,32071,1744,223,3.941020479887537,5.437934582644758
2,B1,1881,235566.83000000002,940430,35288,1989,241,3.7523260636092,5.63647698934482
3,B2,1157,147363.71000000002,711189,25079,1230,159,3.526348129681421,4.9045017743929185
4,C1,1925,243820.41999999998,1070543,37037,2047,205,3.459646179555609,5.5269055269055265
5,C2,1337,161971.96000000002,931492,29528,1446,206,3.1699681800809882,4.897046870766729
6,D1,1095,125031.40000000001,801321,25395,1186,199,3.169141954347883,4.670210671392006
7,D2,1573,185136.38,778157,30950,1687,191,3.977346473783568,5.450726978998385
8,D3,766,87634.94,449059,16094,825,124,3.5839388588136525,5.1261339629675655
9,0,5002,635064.6799999999,2557563,99613,5326,479,3.8948405181025847,5.346691696866874
