,门店ID,门店名称_x,有效订单_x,门店名称_y,有效订单_y
0,2043137391,唯e爱花坊（华盛商场店）,0,唯e爱花坊（华盛商场店）,0
1,2036262852,壹号花坊（小姐姐的花店广佛一路店）,0,壹号花坊（小姐姐的花店广佛一路店）,0
2,2043167134,唯美花艺（长山路店）,0,唯美花艺（长山路店）,0
3,2043493005,手拉手鲜花婚庆,0,手拉手鲜花婚庆,0
4,2036081113,壹号花坊（辉辉鲜花向阳街店）,0,壹号花坊（辉辉鲜花向阳街店）,0
5,2036892633,壹号花坊（满园春色花行九台区店）,0,壹号花坊（满园春色花行九台区店）,0
6,2042459713,BLOSSOM花宿（长江路店）,0,BLOSSOM花宿（长江路店）,0
7,2042529593,悦尚鲜花（霄边大街店）,0,悦尚鲜花（霄边大街店）,0
8,2043372422,花好月圆（丽春路店）,0,花好月圆（丽春路店）,0
9,335724862,壹号花坊（新新花卉南昌路店）,0,壹号花坊（新新花卉南昌路店）,0
10,2043493004,柒月鲜花（襄州区店）,0,柒月鲜花（襄州区店）,0
11,2043137397,王军鲜花店（袁山路店）,0,王军鲜花店（袁山路店）,0
12,2043502901,花里花店（莲花路店）,0,花里花店（莲花路店）,0
13,2043368141,洛神（武陵区店）,0,洛神（武陵区店）,0
14,336859643,壹号花坊（朵夏时光星通路店）,0,壹号花坊（朵夏时光星通路店）,0
15,336809812,壹号花坊（鲜花婚庆婚车曙光路店）,0,壹号花坊（鲜花婚庆婚车曙光路店）,0
16,2036852692,壹号花坊（鲜花屋婚庆馆上渡街道店）,0,壹号花坊（鲜花屋婚庆馆上渡街道店）,0
17,300028994,壹号花坊（花海桂花西路店）,0,壹号花坊（花海桂花西路店）,0
18,2042539721,花开娜时花卉（湖滨北路店）,0,花开娜时花卉（湖滨北路店）,0
19,335724864,壹号花坊（城市花坊飞跃街店）,0,壹号花坊（城市花坊飞跃街店）,0
20,300612204,壹号花坊（花朝越城北路店）,0,壹号花坊（花朝越城北路店）,0
21,2042449614,向阳花卉（建国路店）,0,向阳花卉（建国路店）,0
22,2042499827,博艺坊（新华路店）,0,博艺坊（新华路店）,0
23,2043368143,遇见花开（长江路店）,0,遇见花开（长江路店）,0
24,2043177265,礼韵花坊（金山路店）,0,礼韵花坊（金山路店）,0
25,2043493007,艾诺鲜花,0,艾诺鲜花,0
26,335744866,壹号花坊（四季春花艺黔春路店）,0,壹号花坊（四季春花艺黔春路店）,0
27,2043167144,茉里（大黄山街道店）,0,茉里（大黄山街道店）,0
28,2036173490,壹号花坊（玫瑰花店金佛大道店）,0,壹号花坊（玫瑰花店金佛大道店）,0
29,2036895309,壹号花坊（点点花艺天汉大道店）,0,壹号花坊（点点花艺天汉大道店）,0
30,2036822604,壹号花坊（人家有花滏明路店）,0,壹号花坊（人家有花滏明路店）,0
31,2036835244,壹号花坊（百合恋婚庆龙江路店）,0,壹号花坊（百合恋婚庆龙江路店）,0
32,335744865,壹号花坊（满天星鲜花坊东胜区店）,0,壹号花坊（满天星鲜花坊东胜区店）,0
33,300169063,壹号花坊（花之翼安井未来方舟E4组团店）,0,壹号花坊（花之翼安井未来方舟E4组团店）,0
34,2043177277,花样年华（前进街店）,0,花样年华（前进街店）,0
35,335786148,壹号花坊（梁氏花木安源区店）,0,壹号花坊（梁氏花木安源区店）,0
36,2043378235,奇缘花纺（东山街店）,0,奇缘花纺（东山街店）,0
37,300048979,壹号花坊（宇欣花店龙泉东路店）,0,壹号花坊（宇欣花店龙泉东路店）,0
38,304902507,壹号花坊（萌宠花语宜城路店）,0,壹号花坊（萌宠花语宜城路店）,0
39,2042529582,莫奈花园（淇滨区店）,0,花末花店,0
40,300018942,壹号花坊（乌鲁木齐店）,0,壹号花坊（乌鲁木齐店）,0
41,2036845305,壹号花坊（賀囍の花店道里区店）,0,壹号花坊（賀囍の花店道里区店）,0
42,300048981,壹号花坊（醉美花坊团结北路店）,0,壹号花坊（醉美花坊团结北路店）,0
43,2043512849,百合花艺（汉丰街道店）,0,百合花艺（汉丰街道店）,0
44,304952540,壹号花坊（七彩鲜花新建北路店）,0,壹号花坊（七彩鲜花新建北路店）,0
45,2043372421,小韩鲜花（新华路店）,0,小韩鲜花（新华路店）,0
46,2043127366,名花有主（塔乃依北路店）,0,名花有主（塔乃依北路店）,0
47,2043147294,千喜花坊（新城公旺大街店）,0,千喜花坊（新城公旺大街店）,0
48,336879287,壹号花坊（七彩鲜花婚庆四通东路店）,0,壹号花坊（七彩鲜花婚庆四通东路店）,0
49,336879283,壹号花坊（满世繁花历黄路店）,0,壹号花坊（满世繁花历黄路店）,0
50,336809811,壹号花坊（米粒花坊殷都区店）,0,壹号花坊（米粒花坊殷都区店）,0
51,300169067,壹号花坊（婷雅花坊湖西路店）,0,壹号花坊（婷雅花坊湖西路店）,0
52,2043482925,曼梦花坊（翠微路店）,0,曼梦花坊（翠微路店）,0
53,304942556,壹号花坊（饰美花材昆民路店）,0,壹号花坊（饰美花材昆民路店）,0
54,2043167135,丽人鲜花（银峰路店）,0,丽人鲜花（银峰路店）,0
55,2036173491,壹号花坊（小野猫花艺望城路店）,0,壹号花坊（小野猫花艺望城路店）,0
56,300028998,壹号花坊（米粒鲜花之家阳光路店）,0,壹号花坊（米粒鲜花之家阳光路店）,0
